learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected
4800.0,0.173902,9.615347203281188E-10,4800.0,83.4375,66.86728053654166,66.63869072597566,66.06914212548016,83.43805774869814,83.44745798457649,83.42865963042728,69.0,3320.0,3.0
4900.0,0.176608,9.76498863763279E-10,4900.0,83.36734693877551,66.72288542206564,66.44709757101688,65.82809224318657,83.36611884306132,83.37763542860401,83.35460543854973,83.0,3320.0,1.0
5000.0,0.17917,9.9066668914424E-10,5000.0,83.48,66.95256036038832,66.65320952765441,66.20294599018003,83.48195138550412,83.4927998685776,83.47110572121969,183.0,3320.0,0.0
5100.0,0.182373,1.0083792358636851E-9,5100.0,83.23529411764706,66.46579210867529,65.99045346062053,65.80000000000001,83.23854423299532,83.24779769847797,83.22929282443452,62.0,3320.0,2.0
5200.0,0.184998,1.0228954503933583E-9,5200.0,83.28846153846153,66.57291776085594,66.14725360342811,65.92156862745098,83.29020526931717,83.29683336776633,83.28357822560662,162.0,3320.0,0.0
5300.0,0.187963,1.0392918603287797E-9,5300.0,83.26415094339623,66.52304854389396,66.13211149293625,65.83204930662558,83.26512819022615,83.27224319346426,83.25801440273398,28.0,3320.0,2.0
5400.0,0.190915,1.0556163804398638E-9,5400.0,83.12962962962963,66.25379691088544,65.89292399850244,65.55765595463137,83.13035609664749,83.1373595539928,83.1233538191396,35.0,3320.0,2.0
5500.0,0.193547,1.0701713048749495E-9,5500.0,82.96363636363637,65.92267651306358,65.62729273661041,65.27057079318013,82.96536970090523,82.97258860416198,82.95815205367848,50.0,3320.0,1.0
5600.0,0.19645,1.0862248556481463E-9,5600.0,82.92857142857143,65.85226025302853,65.52470248827984,65.18572469045884,82.92949154561035,82.93604596632765,82.92293816080051,18.0,3320.0,2.0
5700.0,0.199103,1.1008959097994695E-9,5700.0,82.71929824561404,65.43194887093092,65.1080410910379,64.73326172574293,82.72081303681084,82.72999592606504,82.71163218590065,24.0,3320.0,1.0
5800.0,0.201671,1.1150969150993556E-9,5800.0,82.62068965517241,65.23831647949007,64.97567755385685,64.65638148667603,82.62291416511901,82.62888956744408,82.61693962696754,66.0,3320.0,1.0
5900.0,0.20416,1.1288610514667297E-9,5900.0,82.69491525423729,65.38772255018117,65.12978142076503,64.85370051635113,82.69733552921625,82.70242586776932,82.69224581724582,166.0,3320.0,0.0
6000.0,0.206606,1.1423873984151414E-9,6000.0,82.85,65.69866605923565,65.56224899598394,65.21298174442191,82.85270823172381,82.85718255070853,82.84823439594282,266.0,3320.0,0.0
6100.0,0.208934,1.1552612069580288E-9,6100.0,83.0,65.99835520127283,65.86570111915732,65.50232867598136,83.00215989401866,83.00645161290323,82.99786861890439,366.0,3320.0,0.0
6200.0,0.211314,1.168422574798266E-9,6200.0,83.06451612903226,66.12784796638051,65.90909090909092,65.65260058881258,83.06591298033165,83.0688380260435,83.0629881406078,466.0,3320.0,0.0
6300.0,0.21365,1.1813406232330533E-9,6300.0,83.22222222222221,66.44369367598851,66.33757961783438,66.00192988099067,83.22345581974172,83.22568767613289,83.22122408305034,566.0,3320.0,0.0
6400.0,0.216329,1.1961554570330512E-9,6400.0,83.203125,66.40581694998411,66.33260256811776,65.99177475482442,83.20427206261809,83.20601185028369,83.20253234770679,76.0,3320.0,1.0
6500.0,0.218795,1.2097924037112128E-9,6500.0,83.26153846153846,66.52299134871163,66.39901173563929,66.13756613756615,83.26256010272249,83.26370643711172,83.26141379989716,176.0,3320.0,0.0
6600.0,0.22117,1.2229261216190124E-9,6600.0,83.33333333333334,66.66678910270304,66.61608497723824,66.25766871165645,83.33413531380494,83.33474140464297,83.333529231783,276.0,3320.0,0.0
6700.0,0.223603,1.2363805787430868E-9,6700.0,83.43283582089552,66.8658842197671,66.78635547576302,66.39418710263398,83.43366306661292,83.43412186727423,83.43320427099741,376.0,3320.0,0.0
6800.0,0.22648,1.2522903498676086E-9,6800.0,83.41176470588235,66.8235782006203,66.82352941176471,66.38855780691298,83.41225733678553,83.41267355213292,83.41184112559179,36.0,3320.0,2.0
