learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected
17000.0,0.429708,2.438664270771874E-9,17000.0,87.91764705882353,75.48298994283012,22.51980384760471,72.48492967180175,87.74165014562104,87.72869053155478,87.75461358913945,84.0,2664.0,1.0
17100.0,0.431908,2.4511990447839096E-9,17100.0,87.90643274853801,75.44538687222398,22.401500938086276,72.3935389133627,87.72277977234221,87.71291751159713,87.73264425112144,83.0,2688.0,1.0
17200.0,0.434086,2.4633966137965514E-9,17200.0,87.90116279069767,75.43086659413322,22.263728053791564,72.35653560042508,87.71554946436942,87.70405248335211,87.72704946002283,80.0,2616.0,1.0
17300.0,0.436321,2.4761493069430184E-9,17300.0,87.91329479768785,75.45064662653257,22.12290502793296,72.35224117413723,87.72548616318461,87.71178474685256,87.73919186076895,34.0,2656.0,1.0
17400.0,0.438757,2.4900892190635197E-9,17400.0,87.89080459770115,75.38634822291714,21.96296296296292,72.23247232472325,87.69320530174257,87.68706773008313,87.69934373264896,18.0,2688.0,2.0
17500.0,0.441556,2.505666129291057E-9,17500.0,87.82857142857144,75.27346158443201,21.69117647058829,72.14593958415065,87.63681313877896,87.62701733888714,87.64661112905515,44.0,2608.0,3.0
17600.0,0.443808,2.518497179779741E-9,17600.0,87.8125,75.24702488279843,21.428571428571473,72.12837837837839,87.62366935048323,87.61025767072222,87.63708513708514,45.0,2640.0,1.0
17700.0,0.446073,2.5314398006432583E-9,17700.0,87.80225988700565,75.23266426491807,21.26185266229031,72.1311475409836,87.61654073525705,87.60120812256406,87.63187871614464,21.0,2672.0,1.0
17800.0,0.448543,2.5455129332840438E-9,17800.0,87.79213483146067,75.21632930407478,21.153846153846185,72.13388048217493,87.60834334429194,87.59423339307443,87.62245784199136,70.0,2688.0,1.0
17900.0,0.45082,2.5584675744175906E-9,17900.0,87.79888268156425,75.2318140042888,21.09826589595379,72.15351268647203,87.61612516315887,87.60057023093427,87.63168562043624,38.0,2624.0,1.0
18000.0,0.45307,2.571305856108665E-9,18000.0,87.78888888888889,75.20473236396481,21.21863799283159,72.10305876380254,87.60252826620295,87.58900153501355,87.6160591760156,41.0,2656.0,1.0
18100.0,0.455454,2.5849482003185478E-9,18100.0,87.75690607734806,75.13437860496211,21.054506590666165,72.00606366851945,87.56732582448977,87.55482945407137,87.57982576253696,84.0,2688.0,1.0
18200.0,0.457779,2.5981759300662407E-9,18200.0,87.73626373626374,75.09465678418252,20.822986874778245,71.95979899497486,87.54753922008786,87.53205850890224,87.56302540800543,75.0,2624.0,1.0
18300.0,0.459736,2.6091601223581362E-9,18300.0,87.75409836065575,75.12384485952846,21.11932418162621,71.95244055068837,87.56223994305931,87.54306502850679,87.58142325937156,175.0,2648.0,0.0
18400.0,0.462075,2.622317437910371E-9,18400.0,87.73913043478261,75.08634769016479,21.036051802590134,71.89135310241714,87.54340879366734,87.52677006632531,87.56005384821385,36.0,2680.0,1.0
18500.0,0.464067,2.6336753513250082E-9,18500.0,87.77297297297298,75.1414599851166,21.184668989547024,71.91108903514218,87.57088371489597,87.55719124175951,87.58458047124759,136.0,2688.0,0.0
18600.0,0.466271,2.646232915835248E-9,18600.0,87.76881720430107,75.12246461375625,21.06176266481608,71.8440594059406,87.56142162384218,87.54603537890837,87.57681327800204,103.0,2640.0,1.0
18700.0,0.468181,2.6571470023029378E-9,18700.0,87.80748663101605,75.20110048577365,21.16182572614107,71.92809652794877,87.60077853352934,87.58387340445478,87.61769018980003,203.0,2672.0,0.0
18800.0,0.470343,2.6692862870792544E-9,18800.0,87.82446808510637,75.2258636797294,21.09617373319541,71.91755612808244,87.61317232718152,87.59561858702696,87.6307331041162,48.0,2688.0,1.0
18900.0,0.472252,2.6801788558562594E-9,18900.0,87.84126984126985,75.26771020140073,21.19341563786007,71.9892735251097,87.63413824909479,87.61525581258114,87.65302882627444,148.0,2688.0,0.0
19000.0,0.474841,2.694951438655456E-9,19000.0,87.8421052631579,75.26007863473242,20.998632010943965,71.94559145008502,87.63031969096959,87.61132498519046,87.6493226348866,21.0,2656.0,2.0
19100.0,0.477127,2.707744383563598E-9,19100.0,87.8324607329843,75.25110275393287,20.62841530054649,71.9831223628692,87.62577036506896,87.60919210224995,87.64235490327546,61.0,2688.0,1.0
19200.0,0.47904,2.718651857641008E-9,19200.0,87.81770833333333,75.2372037105464,20.360912495743946,72.02822291317867,87.61883196203793,87.60216691801996,87.63550334782907,161.0,2688.0,0.0
19300.0,0.481459,2.732229150003857E-9,19300.0,87.76683937823833,75.13676951134445,20.10152284263959,71.89954772673171,87.56888605830918,87.54439403246488,87.59339179210596,31.0,2648.0,2.0
19400.0,0.483388,2.743080138332314E-9,19400.0,87.78350515463917,75.1685522681614,20.228879165264196,71.92608386638237,87.58479304973694,87.55985294706896,87.60974736407661,131.0,2680.0,0.0
19500.0,0.485934,2.757544136709637E-9,19500.0,87.72820512820513,75.06128499420626,19.832495812395326,71.82717212149753,87.53113295179932,87.50701047332107,87.55526873331274,27.0,2608.0,2.0
19600.0,0.488249,2.7705281186434956E-9,19600.0,87.73979591836735,75.09024120580605,19.766277128547593,71.875,87.54568851573119,87.51990052598984,87.571491706962,50.0,2640.0,1.0
19700.0,0.490393,2.7827793235580124E-9,19700.0,87.76142131979695,75.13431231304153,19.900332225913623,71.9324796274738,87.56763693839979,87.54390685833344,87.59137988673767,150.0,2672.0,0.0
19800.0,0.49292,2.797177220798201E-9,19800.0,87.73232323232322,75.07660489279232,19.782034346103003,71.8800648298217,87.53870349572016,87.51707748994286,87.56034019197607,64.0,2688.0,2.0
19900.0,0.495197,2.809863249874777E-9,19900.0,87.73869346733669,75.10073852698685,19.631093544137016,71.94757415497816,87.55082070480873,87.52819987187699,87.57345323304236,60.0,2624.0,1.0
20000.0,0.497526,2.8231522979007827E-9,20000.0,87.76,75.14536408447442,19.685039370078762,71.99725463280716,87.57320682348369,87.5488533349373,87.59757386463318,21.0,2656.0,1.0
20100.0,0.500532,2.8399745167957413E-9,20100.0,87.73134328358209,75.09153496319001,19.621903520208587,71.96452933151431,87.54617362686537,87.52487974130413,87.5674778761062,49.0,2688.0,1.0
20200.0,0.504066,2.8597149666812685E-9,20200.0,87.73267326732673,75.11119377833744,19.54545454545456,72.05998421468034,87.55596437418973,87.53616707105284,87.57577063412432,99.0,2688.0,1.0
20300.0,0.506637,2.8743635594016975E-9,20300.0,87.69950738916256,75.05017027810501,19.42562116811869,72.00044853106077,87.52565293205274,87.50126799653674,87.55005146259083,53.0,2640.0,1.0
20400.0,0.509737,2.892077521731456E-9,20400.0,87.70098039215685,75.04126678693218,19.737683941138783,71.94140013419815,87.52119614083004,87.4965179907733,87.54588821562164,39.0,2672.0,1.0
20500.0,0.512174,2.905634796867768E-9,20500.0,87.69268292682926,75.01962341966994,19.598470363288733,71.9073599821846,87.51025407927473,87.48823513442888,87.53228411031944,43.0,2600.0,1.0
20600.0,0.514713,2.9201010656025675E-9,20600.0,87.65533980582524,74.94628011625399,19.448843839087687,71.82583647241302,87.47369134902921,87.4492030327746,87.49819338400474,52.0,2640.0,2.0
20700.0,0.517043,2.93341510825687E-9,20700.0,87.64251207729468,74.92117238339998,19.43307086614175,71.79713340683573,87.4611931059939,87.43553515702386,87.48686611802925,47.0,2672.0,1.0
20800.0,0.51932,2.946388599359327E-9,20800.0,87.63942307692307,74.89844056101981,19.429645879034783,71.72239331280245,87.44961542549832,87.42846156872413,87.47077952136277,74.0,2688.0,1.0
20900.0,0.522406,2.9636776757737E-9,20900.0,87.59808612440192,74.8202836603847,19.075866375273222,71.65974196369999,87.41051615298831,87.39009196545082,87.43094988954773,56.0,2624.0,3.0
21000.0,0.526157,2.9850805178284644E-9,21000.0,87.58095238095238,74.7831743438137,19.281956050758257,71.60897017200088,87.39195782872045,87.37157750469792,87.41234766280397,78.0,2656.0,1.0
21100.0,0.528551,2.998780086636543E-9,21100.0,87.59715639810427,74.80387673521737,19.452139119729186,71.58214789879467,87.40232215945011,87.3812551076995,87.42339937190847,178.0,2688.0,0.0
21200.0,0.530584,3.010199264519744E-9,21200.0,87.62735849056604,74.85448342974146,19.613852283175053,71.60025985275013,87.42759078015952,87.40722235743175,87.44796869796869,278.0,2688.0,0.0
21300.0,0.53286,3.0231670579976502E-9,21300.0,87.6244131455399,74.84049262712276,19.634146341463385,71.54576856649395,87.42067343458228,87.3979245322158,87.443434182706,77.0,2640.0,1.0
21400.0,0.535164,3.036117955214447E-9,21400.0,87.64018691588785,74.85522307077152,19.872765828536824,71.50705590865023,87.42792501088957,87.40803245803552,87.44782662020505,177.0,2672.0,0.0
21500.0,0.537045,3.046835186994738E-9,21500.0,87.64186046511628,74.83821942572004,20.042130604875148,71.43010752688174,87.419271369896,87.40465580943689,87.43389181911834,277.0,2688.0,0.0
21600.0,0.54055,3.066776345173518E-9,21600.0,87.6574074074074,74.86490874902447,20.17964071856289,71.44387317909168,87.4326044881429,87.41844110263004,87.44677246385419,110.0,2624.0,1.0
21700.0,0.542823,3.0797552710605993E-9,21700.0,87.6589861751152,74.87238197154915,20.178837555886727,71.44989339019189,87.43648242783324,87.41683847225393,87.45613521401614,37.0,2664.0,1.0
21800.0,0.544803,3.0910857415033714E-9,21800.0,87.68348623853211,74.9053250837578,20.4444444444444,71.43617021276594,87.4528634566028,87.43624827972637,87.46948494931681,137.0,2688.0,0.0
21900.0,0.54744,3.1060885472430127E-9,21900.0,87.66666666666667,74.86776364611109,20.394930739758372,71.37254901960786,87.43415495680158,87.41472003098309,87.45359852648092,35.0,2624.0,2.0
22000.0,0.54982,3.1196685963206827E-9,22000.0,87.68181818181819,74.88737141929805,20.713867758923357,71.35306553911207,87.44397007663638,87.42390330106188,87.46404606634836,103.0,2656.0,1.0
22100.0,0.552207,3.1333281079100244E-9,22100.0,87.67420814479638,74.87688671240524,20.744835612452736,71.35646687697162,87.43875245753287,87.41794092043243,87.4595739061734,85.0,2688.0,1.0
22200.0,0.554675,3.1470629469388066E-9,22200.0,87.66216216216216,74.83848635291056,20.5626450116009,71.28027681660899,87.41941559763112,87.40365467869958,87.43518220171087,41.0,2608.0,1.0
22300.0,0.556971,3.160144692907731E-9,22300.0,87.66816143497758,74.84780987032723,20.58908460872077,71.27937336814621,87.42408639401087,87.40786937987136,87.44030942683845,41.0,2640.0,1.0
22400.0,0.559072,3.17215018802219E-9,22400.0,87.69196428571429,74.89603795213314,21.02549412775708,71.32605304212169,87.44825576051637,87.42971889442997,87.46680048864962,141.0,2672.0,0.0
22500.0,0.561356,3.1851635624965034E-9,22500.0,87.68444444444444,74.86916609139539,21.009122006841494,71.26114913918273,87.43477217663433,87.41801811510565,87.45153266137851,47.0,2688.0,1.0
22600.0,0.563746,3.1987610997425187E-9,22600.0,87.67256637168141,74.86307607303756,20.852272727272723,71.30497476568132,87.43183382143278,87.41125777797345,87.45241955410737,38.0,2624.0,1.0
22700.0,0.566023,3.211753440813886E-9,22700.0,87.66519823788546,74.84236262418003,20.70235060889269,71.25846848696366,87.42150182324743,87.39996292262387,87.44305134260773,62.0,2656.0,1.0
22800.0,0.568705,3.2271010780500044E-9,22800.0,87.6140350877193,74.73417044993693,20.360970107163034,71.13359910048042,87.3673017927861,87.34954183765021,87.38506897131761,37.0,2688.0,2.0
22900.0,0.571627,3.2437132526603013E-9,22900.0,87.61572052401748,74.75075721019016,20.22503516174404,71.18764604287313,87.3756929121976,87.35457556071383,87.39682047609121,31.0,2616.0,1.0
23000.0,0.574186,3.258314658370283E-9,23000.0,87.6,74.71988833895384,20.08966096945924,71.1540406594518,87.360283259911,87.3383800743528,87.38219743422081,49.0,2656.0,2.0
23100.0,0.576406,3.271018519169755E-9,23100.0,87.59740259740259,74.71420400643554,20.105967651979938,71.15094149632463,87.35739744409582,87.33694523192727,87.37785923734047,31.0,2688.0,1.0
23200.0,0.578756,3.2843690282768677E-9,23200.0,87.58620689655172,74.69159912829346,20.044419766796185,71.1336072967826,87.3460309165814,87.32793919778102,87.36413013305354,56.0,2608.0,1.0
23300.0,0.581262,3.2984190723962257E-9,23300.0,87.57510729613735,74.66804391249438,19.783873649210353,71.08469836196565,87.33442455401467,87.31054004145638,87.35832213775635,42.0,2632.0,2.0
23400.0,0.583208,3.3095388693941968E-9,23400.0,87.57692307692308,74.65006409426519,19.62952723251313,71.00538599640933,87.32527129983134,87.30646106097082,87.34408964579708,142.0,2672.0,0.0
23500.0,0.586256,3.3268295311265525E-9,23500.0,87.51914893617021,74.51960120309936,19.312242090784025,70.8362334692254,87.25988874079667,87.24834397936505,87.2714365578543,19.0,2592.0,3.0
23600.0,0.588891,3.3418209581739377E-9,23600.0,87.49576271186442,74.4888416430183,19.30544161881324,70.84280209465469,87.24461189896465,87.22789119581722,87.26133901371996,19.0,2624.0,2.0
23700.0,0.591257,3.355321124609974E-9,23700.0,87.48945147679325,74.47042290019395,19.20980926430514,70.79680882497783,87.23544415069435,87.21689528232713,87.25400091050751,65.0,2656.0,1.0
23800.0,0.593223,3.3665714806152717E-9,23800.0,87.50420168067227,74.47900500353735,19.228680065181933,70.74274471224791,87.23966148949684,87.22401456219433,87.25531403154346,165.0,2688.0,0.0
23900.0,0.595513,3.3795811256600752E-9,23900.0,87.48117154811716,74.4320690149355,19.200648123143402,70.70400469989228,87.21611301480701,87.20512206093059,87.22710673953661,69.0,2608.0,1.0
24000.0,0.597759,3.3923779904014537E-9,24000.0,87.47500000000001,74.44071799390247,19.128329297820834,70.76728581153361,87.22055384978704,87.20358017095228,87.2375341375675,14.0,2640.0,1.0
24100.0,0.599683,3.4032008527881573E-9,24100.0,87.47717842323651,74.44828677915999,18.979865771812072,70.77280650784427,87.22445166751048,87.20316504852896,87.24574868131614,114.0,2680.0,0.0
24200.0,0.601824,3.415355156693194E-9,24200.0,87.49586776859503,74.4674622552412,18.89573840793353,70.73783966734356,87.23396563829844,87.21506023556014,87.25287923897287,29.0,2600.0,1.0
24300.0,0.605049,3.4334363188180663E-9,24300.0,87.48971193415638,74.46116752277231,18.694838192029977,70.73828087400135,87.23094006985104,87.20777442771757,87.25411802257426,90.0,2632.0,1.0
24400.0,0.60707,3.444792276455297E-9,24400.0,87.49180327868854,74.45264501719578,18.635030658491075,70.68485255979253,87.22667624185641,87.20331947146009,87.25004552748462,190.0,2664.0,0.0
