learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),F1 Score for class 5 (percent),F1 Score for class 6 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Precision for class 5 (percent),Precision for class 6 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),Recall for class 5 (percent),Recall for class 6 (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
250800.0,10.658448,1.2116767534158316E-7,250800.0,80.44896331738437,63.77773931851978,-221.05021934132148,48.09788936638652,74.52942412163401,73.02723651630961,85.53673685209984,77.24383816462564,82.18427155808561,65.90074247753029,56.718930863937715,79.64229352972119,71.78905048944054,70.81452096980453,87.60445308832405,73.68031938488836,76.10308473252636,58.19185645272602,59.256816182937555,76.87230261487687,77.48731524976866,75.3826920405612,83.56437797068814,81.1695715914644,89.32172318973419,75.96396396396396,54.38950554994955,82.6193724420191,8187.0,24744.0,0.0,0.0
250900.0,10.66292,1.2122798272512047E-7,250900.0,80.4400159426066,63.75892450981501,-221.13597696636563,48.07376919088783,74.51197980076178,73.01200766876325,85.53326984687983,77.24383816462564,82.18427155808561,65.79275905118602,56.718930863937715,79.64229352972119,71.77029817705332,70.81452096980453,87.59341800998693,73.68031938488836,76.10308473252636,58.07162534435262,59.256816182937555,76.87230261487687,77.4714498867371,75.3502450674109,83.56780192093719,81.1695715914644,89.32172318973419,75.88192944564435,54.38950554994955,82.6193724420191,8287.0,24752.0,0.0,0.0
251000.0,10.667406,1.2128847890637007E-7,251000.0,80.4414342629482,63.75483309756521,-221.21965582673556,48.06563204163891,74.51127155826674,73.00415010324812,85.53674275005642,77.24383816462564,82.18427155808561,65.79275905118602,56.718930863937715,79.64229352972119,71.76995433068875,70.81452096980453,87.59101108543487,73.68031938488836,76.10308473252636,58.07162534435262,59.256816182937555,76.87230261487687,77.47031929473458,75.33350916889931,83.57662367543108,81.1695715914644,89.32172318973419,75.88192944564435,54.38950554994955,82.6193724420191,8387.0,24752.0,0.0,0.0
251100.0,10.672604,1.213585875576571E-7,251100.0,80.44484269215452,63.75419743597508,-221.18655154369463,48.060039349256364,74.50988922497905,72.99973096583265,85.54208203954894,77.24383816462564,82.18427155808561,65.79275905118602,56.70699631772752,79.64229352972119,71.77008906353166,70.81452096980453,87.59195421533519,73.68031938488836,76.10308473252636,58.07162534435262,59.256816182937555,76.87230261487687,77.46717377028338,75.32409849262972,83.58596020567852,81.1695715914644,89.32172318973419,75.88192944564435,54.36756102481339,82.6193724420191,8487.0,24760.0,0.0,0.0
251200.0,10.677134,1.2141968647845936E-7,251200.0,80.42754777070064,63.74106517027273,-221.5145173947163,48.03297748652361,74.43893699434383,72.99973096583265,85.53462819343811,77.06957456611887,82.1917808219178,65.79275905118602,56.41616077035796,79.64229352972119,71.68171969612649,70.81452096980453,87.59203727007416,73.55614189387276,76.11241217798595,58.07162534435262,58.752997601918466,76.87230261487687,77.41675065423532,75.32409849262972,83.57165209505501,80.93548387096774,89.32661475034357,75.88192944564435,54.25810348298772,82.6193724420191,8587.0,24760.0,0.0,0.0
251300.0,10.681571,1.2147953105055642E-7,251300.0,80.42896935933148,63.76692395697559,-221.59811678545722,48.0709534368071,74.45579042595617,72.99973096583265,85.53462819343811,77.26446531354135,82.1917808219178,65.79275905118602,56.33096531550355,79.64229352972119,71.70309594115025,70.81452096980453,87.59203727007416,73.7351835790691,76.11241217798595,58.07162534435262,58.72358963188847,76.87230261487687,77.42827556510593,75.32409849262972,83.57165209505501,81.14858415526567,89.32661475034357,75.88192944564435,54.125677574784184,82.6193724420191,8687.0,24760.0,0.0,0.0
251400.0,10.686241,1.2154251823822676E-7,251400.0,80.42840095465394,63.780327088397634,-221.63027846777342,48.09864874843091,74.46231651289989,73.0056525275065,85.53211237041975,77.33514410743926,82.1917808219178,65.79275905118602,56.36477462437396,79.58060288335518,71.69916069043786,70.82219469257352,87.59203727007416,73.81535359354746,76.11241217798595,58.07162534435262,58.75571024581249,76.72479150871872,77.44698299916755,75.32802574273904,83.5668488811689,81.2074156235145,89.32661475034357,75.88192944564435,54.16081812713054,82.6572284236319,8787.0,24760.0,0.0,0.0
251500.0,10.691081,1.2160779832137975E-7,251500.0,80.41868787276341,63.762481450583344,-221.7496406637919,48.073597638127374,74.45492935287248,72.99104293076918,85.525189632756,77.33514410743926,82.1917808219178,65.75342465753424,56.36477462437396,79.58060288335518,71.686681731626,70.8187187878946,87.5817080921955,73.81535359354746,76.11241217798595,57.99807771522724,58.75571024581249,76.72479150871872,77.44556144908438,75.30085403726709,83.56303422213426,81.2074156235145,89.32661475034357,75.90296495956873,54.16081812713054,82.6572284236319,8887.0,24760.0,0.0,0.0
251600.0,10.695759,1.21670893410014E-7,251600.0,80.41494435612083,63.75065712330712,-221.79194148762497,48.05890227576977,74.44343959951783,72.98221568271757,85.5238026830869,77.33514410743926,82.1917808219178,65.69717707442257,56.36477462437396,79.58060288335518,71.68509792830186,70.8187187878946,87.57062146892656,73.81535359354746,76.11241217798595,57.99807771522724,58.75571024581249,76.72479150871872,77.42255036501085,75.28206691985696,83.57048059008193,81.2074156235145,89.32661475034357,75.7532281205165,54.16081812713054,82.6572284236319,8987.0,24760.0,0.0,0.0
251700.0,10.700246,1.2173141236313536E-7,251700.0,80.41994437822805,63.7525848158142,-221.75360710321846,48.055356465280994,74.44323200977804,72.97927374114012,85.5306347517962,77.33514410743926,82.1917808219178,65.69717707442257,56.35889410537297,79.58060288335518,71.68561616937656,70.8187187878946,87.5742491564494,73.81535359354746,76.11241217798595,57.99807771522724,58.75571024581249,76.72479150871872,77.42149679072438,75.27580663044684,83.58022408284816,81.2074156235145,89.32661475034357,75.7532281205165,54.14995990376904,82.6572284236319,9087.0,24760.0,0.0,0.0
251800.0,10.705531,1.218026944374047E-7,251800.0,80.40984908657664,63.744500357419575,-221.9843342036554,48.03695393399277,74.41480840766818,72.97584177572355,85.52453027139875,77.27715720818651,82.1917808219178,65.69717707442257,56.22464898595943,79.58060288335518,71.64235003382993,70.8187187878946,87.57214621633177,73.6496141754787,76.11241217798595,57.99807771522724,58.620689655172406,76.72479150871872,77.41048552773633,75.26850427528097,83.57048143614851,81.28055511748936,89.32661475034357,75.7532281205165,54.016786570743406,82.6572284236319,9187.0,24760.0,0.0,0.0
251900.0,10.710163,1.2186516909549655E-7,251900.0,80.40809845176658,63.76434627966554,-222.1409921671016,48.06637973671195,74.40782146756266,72.97584177572355,85.52453027139875,77.39548649648539,82.1917808219178,65.69717707442257,56.08465608465607,79.58060288335518,71.63942997814424,70.8187187878946,87.57214621633177,73.9327113372915,76.11241217798595,57.99807771522724,58.31715210355986,76.72479150871872,77.39877360386139,75.26850427528097,83.57048143614851,81.19857165036485,89.32661475034357,75.7532281205165,54.016786570743406,82.6572284236319,9287.0,24760.0,0.0,0.0
252000.0,10.714629,1.2192541405144687E-7,252000.0,80.40674603174604,63.78180008059498,-222.20699556251654,48.096794878533366,74.41002189431836,72.97576832151299,85.52453027139875,77.48898678414096,82.1917808219178,65.69717707442257,56.084437086092706,79.4932079414838,71.63030298557167,70.82480543352149,87.57214621633177,73.99046550757151,76.11241217798595,57.99807771522724,58.380008616975445,76.53420523138833,77.41419313895294,75.26147367254492,83.57048143614851,81.33477188655979,89.32661475034357,75.7532281205165,53.962564715252896,82.69021739130434,9387.0,24768.0,0.0,0.0
252100.0,10.719124,1.2198605020840985E-7,252100.0,80.40103133677113,63.77447482663769,-222.26063135924892,48.08942961305302,74.40675672689339,72.97549450623208,85.51815448432394,77.48898678414096,82.1917808219178,65.67303213786678,56.084437086092706,79.4932079414838,71.62236100092879,70.82627615498866,87.56795383813963,73.99046550757151,76.11241217798595,57.945205479452056,58.380008616975445,76.53420523138833,77.41640197985379,75.2592305455955,83.56212399306617,81.33477188655979,89.32661475034357,75.77929057685418,53.962564715252896,82.69021739130434,9487.0,24768.0,0.0,0.0
252200.0,10.725934,1.2207792909195048E-7,252200.0,80.3913560666138,63.75336547755951,-222.4214369539708,48.06720924127067,74.38765715559099,72.9627616382463,85.5111765894616,77.48898678414096,82.1917808219178,65.58139534883722,56.084437086092706,79.4932079414838,71.61935119828644,70.82627615498866,87.54688521964307,73.99046550757151,76.11241217798595,57.945205479452056,58.380008616975445,76.53420523138833,77.37857463161467,75.23215101233063,83.56798837979716,81.33477188655979,89.32661475034357,75.53571428571428,53.962564715252896,82.69021739130434,9587.0,24776.0,0.0,0.0
252300.0,10.731908,1.2215852886438392E-7,252300.0,80.39873166864844,63.75914899340178,-222.38591916557988,48.066704471467894,74.38886076089514,72.96227200128847,85.52024260507294,77.48898678414096,82.1917808219178,65.58139534883722,56.084437086092706,79.4932079414838,71.62044245127397,70.82627615498866,87.55452399055585,73.99046550757151,76.11241217798595,57.945205479452056,58.380008616975445,76.53420523138833,77.37990549385216,75.23110988098534,83.57834554680487,81.33477188655979,89.32661475034357,75.53571428571428,53.962564715252896,82.69021739130434,9687.0,24776.0,0.0,0.0
252400.0,10.737025,1.2222756619875653E-7,252400.0,80.3878763866878,63.742269031062406,-222.58716194200088,48.035901742599194,74.35613625056719,72.95639687034478,85.51464555033147,77.3919413919414,82.1917808219178,65.58139534883722,55.9645324260233,79.4932079414838,71.57298586469001,70.82627615498866,87.55058636851545,73.80187229286014,76.11241217798595,57.945205479452056,58.24034334763949,76.53420523138833,77.36449217782976,75.21861855213638,83.5712421961014,81.3491452333282,89.32661475034357,75.53571428571428,53.85989283588013,82.69021739130434,9787.0,24776.0,0.0,0.0
252500.0,10.741571,1.222888997383418E-7,252500.0,80.38534653465346,63.760547416617385,-222.7565982404689,48.063129194630875,74.34453814724772,72.95639687034478,85.51464555033147,77.48842592592592,82.1917808219178,65.58139534883722,55.81491002570694,79.4932079414838,71.5651231533091,70.82627615498866,87.55058636851545,74.06997649011203,76.11241217798595,57.945205479452056,57.917200170721294,76.53420523138833,77.34856804783618,75.21861855213638,83.5712421961014,81.23767632337328,89.32661475034357,75.53571428571428,53.85989283588013,82.69021739130434,9887.0,24776.0,0.0,0.0
252600.0,10.746474,1.2235504983613913E-7,252600.0,80.3867775138559,63.786076024250846,-222.7767281256108,48.100775193798455,74.36590792142964,72.955907318808,85.51464555033147,77.63393176453758,82.1917808219178,65.58139534883722,55.774358974358975,79.52560927929102,71.58976925456224,70.82627615498866,87.55058636851545,74.16974169741697,76.11241217798595,57.945205479452056,57.96205499893413,76.5621079046424,77.36604133561252,75.21757779530391,83.5712421961014,81.437575030012,89.32661475034357,75.53571428571428,53.74579956513145,82.72776572668113,9987.0,24776.0,0.0,0.0
252700.0,10.751114,1.2241765160113598E-7,252700.0,80.38068856351404,63.78153415672312,-222.89957014458787,48.09890708094301,74.3429594052286,72.96108563306247,85.50984132771654,77.63393176453758,82.1917808219178,65.54660885723135,55.774358974358975,79.39110070257611,71.54653960117751,70.83344182050148,87.55174827505749,74.16974169741697,76.11241217798595,57.88322166005743,57.96205499893413,76.31315657828914,77.3668686665654,75.22050488013934,83.56100757783024,81.437575030012,89.32661475034357,75.5488131358201,53.74579956513145,82.72776572668113,10087.0,24776.0,0.0,0.0
252800.0,10.755787,1.224807082654704E-7,252800.0,80.37064873417722,63.7614233373078,-223.00331966412824,48.08006194023606,74.33542090849929,72.94396814650463,85.50184663944161,77.63393176453758,82.1917808219178,65.53323029366305,55.774358974358975,79.39110070257611,71.5491121828768,70.83344182050148,87.52948073925036,74.16974169741697,76.11241217798595,57.92349726775956,57.96205499893413,76.31315657828914,77.34753532918208,75.18412579972087,83.56602657473428,81.437575030012,89.32661475034357,75.44483985765125,53.74579956513145,82.72776572668113,10187.0,24784.0,0.0,0.0
252900.0,10.76042,1.2254322517663266E-7,252900.0,80.37841043890866,63.76784213687322,-223.00331966412844,48.08006194023603,74.33675023683041,72.94396814650463,85.51127587272165,77.63393176453758,82.1917808219178,65.53323029366305,55.774358974358975,79.39110070257611,71.55029828572206,70.83344182050148,87.53778345916723,74.16974169741697,76.11241217798595,57.92349726775956,57.96205499893413,76.31315657828914,77.34902767297794,75.18412579972087,83.57647298130526,81.437575030012,89.32661475034357,75.44483985765125,53.74579956513145,82.72776572668113,10287.0,24784.0,0.0,0.0
253000.0,10.764928,1.226040646889146E-7,253000.0,80.37075098814229,63.750968815617206,-223.17303312292566,48.04849727490507,74.31235022559893,72.93712340060456,85.50645973836029,77.59508149842722,82.1917808219178,65.53323029366305,55.66588187122531,79.39110070257611,71.51141623028929,70.83344182050148,87.53352187655963,74.0988530857455,76.11241217798595,57.92349726775956,57.76503080518377,76.31315657828914,77.34164038989171,75.16958401834685,83.57115628970774,81.437575030012,89.32661475034357,75.44483985765125,53.713947056499414,82.72776572668113,10387.0,24792.0,0.0,0.0
