learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected
3400.0,0.98386,5.1442332528531544E-8,3400.0,92.55882352941175,92.55882352941175,-622.8571428571458,92.55882352941175,?,?,?,32.0,52056.0,1.0
3500.0,1.013645,5.308450754731893E-8,3500.0,92.28571428571428,92.28571428571428,-574.9999999999987,92.28571428571428,?,?,?,132.0,65376.0,0.0
3600.0,1.042081,5.471274669385618E-8,3600.0,92.38888888888889,92.38888888888889,-537.2093023255826,92.38888888888889,?,?,?,232.0,65376.0,0.0
3700.0,1.078192,5.645468247847424E-8,3700.0,92.37837837837837,92.37837837837837,-526.6666666666674,92.37837837837837,?,?,?,51.0,41800.0,1.0
3800.0,1.109468,5.789703853014442E-8,3800.0,92.44736842105263,92.44736842105263,-537.7777777777786,92.44736842105263,?,?,?,101.0,33600.0,1.0
3900.0,1.132827,5.897428610051671E-8,3900.0,92.64102564102565,92.64102564102565,-537.7777777777799,92.64102564102565,?,?,?,201.0,33600.0,0.0
4000.0,1.158164,6.018313009705808E-8,4000.0,92.35,92.35,-565.2173913043505,92.35,?,?,?,17.0,36680.0,2.0
4100.0,1.181586,6.13565476031767E-8,4100.0,92.41463414634147,92.41463414634147,-561.7021276595735,92.41463414634147,?,?,?,117.0,43856.0,0.0
4200.0,1.207668,6.277399414943324E-8,4200.0,92.21428571428572,92.21428571428572,-567.3469387755074,92.21428571428572,?,?,?,85.0,54112.0,1.0
4300.0,1.235114,6.430930618196726E-8,4300.0,92.16279069767442,92.16279069767442,-573.9999999999983,92.16279069767442,?,?,?,47.0,53096.0,2.0
4400.0,1.259024,6.541196423272292E-8,4400.0,92.06818181818181,92.06818181818181,-584.3137254901959,92.06818181818181,?,?,?,91.0,33600.0,1.0
4500.0,1.280633,6.640850701058904E-8,4500.0,92.24444444444444,92.24444444444444,-584.3137254901981,92.24444444444444,?,?,?,191.0,33600.0,0.0
4600.0,1.301947,6.745364258893662E-8,4600.0,92.32608695652173,92.32608695652173,-578.8461538461568,92.32608695652173,?,?,?,291.0,41800.0,0.0
4700.0,1.324441,6.855663966594471E-8,4700.0,92.46808510638299,92.46808510638299,-580.7692307692282,92.46808510638299,?,?,?,391.0,41800.0,0.0
4800.0,1.347538,6.968920494947169E-8,4800.0,92.625,92.625,-580.7692307692288,92.625,?,?,?,491.0,41800.0,0.0
4900.0,1.370345,7.080755003417532E-8,4900.0,92.75510204081633,92.75510204081633,-582.6923076923064,92.75510204081633,?,?,?,591.0,41800.0,0.0
5000.0,1.39468,7.196858798878061E-8,5000.0,92.80000000000001,92.80000000000001,-592.3076923076942,92.80000000000001,?,?,?,99.0,36680.0,1.0
5100.0,1.42557,7.356549847457145E-8,5100.0,92.74509803921569,92.74509803921569,-598.1132075471705,92.74509803921569,?,?,?,75.0,43872.0,1.0
5200.0,1.450848,7.487228718482788E-8,5200.0,92.86538461538461,92.86538461538461,-599.9999999999977,92.86538461538461,?,?,?,175.0,43872.0,0.0
5300.0,1.476441,7.619536034969821E-8,5300.0,93.0,93.0,-599.999999999999,93.0,?,?,?,275.0,43872.0,0.0
5400.0,1.507572,7.780472973568573E-8,5400.0,93.03703703703704,93.03703703703704,-609.4339622641494,93.03703703703704,?,?,?,29.0,43872.0,1.0
5500.0,1.541004,7.963946903331413E-8,5500.0,93.10909090909091,93.10909090909091,-601.8518518518506,93.10909090909091,?,?,?,129.0,53096.0,0.0
5600.0,1.572226,8.135292411678368E-8,5600.0,93.23214285714285,93.23214285714285,-601.85185185185,93.23214285714285,?,?,?,229.0,53096.0,0.0
5700.0,1.604363,8.311659415769908E-8,5700.0,93.35087719298245,93.35087719298245,-601.8518518518536,93.35087719298245,?,?,?,329.0,53096.0,0.0
5800.0,1.631738,8.461892690095637E-8,5800.0,93.44827586206897,93.44827586206897,-603.7037037037051,93.44827586206897,?,?,?,429.0,53096.0,0.0
5900.0,1.658515,8.604588066745136E-8,5900.0,93.49152542372882,93.49152542372882,-611.1111111111134,93.49152542372882,?,?,?,75.0,46952.0,1.0
6000.0,1.683365,8.739627035748628E-8,6000.0,93.36666666666666,93.36666666666666,-347.19101123595425,93.36666666666666,?,?,?,175.0,57192.0,0.0
6100.0,1.707855,8.872709705804786E-8,6100.0,93.27868852459017,93.27868852459017,-188.7323943661977,93.27868852459017,?,?,?,275.0,57192.0,0.0
6200.0,1.732602,9.007188955942791E-8,6200.0,93.2258064516129,93.2258064516129,-114.28571428571428,93.2258064516129,?,?,?,375.0,57192.0,0.0
6300.0,1.770669,9.214051267132163E-8,6300.0,93.15873015873017,93.15873015873017,-72.40000000000002,93.15873015873017,?,?,?,475.0,57192.0,0.0
